wavelength;angle_0;angle_-15;angle_-30;angle_-45;angle_-60;angle_-75;angle_15;angle_30;angle_45;angle_60;angle_75
380;0.0;0.0;0.0;0.0;0.0;0.0;2.3592e-05;2.21175e-06;0.0;0.0;0.0
381;0.0;0.0;9.59377e-07;0.0;0.0;0.0;3.39344e-05;9.32816e-07;0.0;0.0;0.0
382;0.0;0.0;6.82896e-08;0.0;0.0;0.0;2.50459e-05;0.0;0.0;0.0;0.0
383;1.69449e-07;0.0;1.61093e-07;3.22187e-07;0.0;0.0;6.44373e-07;3.75853e-06;0.0;1.61093e-07;0.0
384;8.31121e-07;0.0;7.90139e-07;1.58028e-06;0.0;0.0;3.16056e-06;3.16056e-06;0.0;7.90139e-07;0.0
385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.84939e-07;0.0;0.0;0.0
386;3.27514e-06;0.0;0.0;0.0;0.0;0.0;0.0;3.27135e-07;0.0;0.0;0.0
387;4.75764e-07;0.0;0.0;0.0;0.0;0.0;0.0;9.5602e-07;0.0;0.0;0.0
388;5.67621e-07;0.0;0.0;0.0;0.0;0.0;1.063e-06;0.0;0.0;0.0;0.0
389;5.05878e-06;0.0;2.85991e-07;2.85991e-07;0.0;0.0;7.53891e-07;0.0;0.0;0.0;0.0
390;1.07576e-06;0.0;5.46535e-07;5.46535e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0
391;3.16191e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
392;6.48644e-07;0.0;3.41869e-06;0.0;0.0;0.0;2.56401e-06;0.0;0.0;0.0;0.0
393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
394;2.39591e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
395;6.04415e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
396;0.0;0.0;1.20372e-06;6.01858e-07;0.0;0.0;1.20372e-06;0.0;0.0;0.0;0.0
397;0.0;0.0;3.88867e-07;1.94434e-07;0.0;0.0;1.6278e-05;0.0;0.0;0.0;0.0
398;2.06433e-06;0.0;0.0;0.0;0.0;0.0;5.98661e-06;1.96254e-06;0.0;0.0;0.0
