wavelength;angle_0;angle_-15;angle_-30;angle_-45;angle_-60;angle_-75;angle_15;angle_30;angle_45;angle_60;angle_75
433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
434;2.02627e-05;0.0;6.3321e-07;0.0;0.0;0.0;6.3321e-07;0.0;0.0;0.0;0.0
435;1.70509e-05;0.0;1.00459e-06;0.0;0.0;0.0;5.02296e-07;0.0;0.0;0.0;0.0
436;2.16101e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
437;2.33459e-05;6.65996e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
438;1.83331e-05;2.57672e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
439;1.77591e-05;5.38346e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
440;2.70861e-07;1.08901e-06;5.44507e-07;5.44507e-07;0.0;0.0;1.80574e-07;0.0;0.0;0.0;0.0
441;1.02903e-06;6.86017e-07;7.33356e-07;3.43009e-07;0.0;0.0;8.81191e-07;0.0;0.0;0.0;0.0
442;2.9696e-07;0.0;7.64266e-07;0.0;0.0;0.0;2.33653e-07;0.0;2.9696e-07;0.0;0.0
443;9.22543e-07;7.94774e-07;1.27769e-07;0.0;0.0;0.0;1.19216e-06;0.0;5.25156e-07;0.0;0.0
444;4.768e-08;4.768e-08;0.0;0.0;0.0;0.0;7.152e-08;0.0;5.17428e-07;0.0;0.0
445;0.0;8.62352e-07;0.0;0.0;0.0;0.0;7.68511e-08;0.0;0.0;0.0;0.0
446;1.72914e-07;0.0;0.0;0.0;0.0;0.0;3.22751e-07;0.0;0.0;0.0;0.0
447;2.19844e-07;0.0;0.0;0.0;0.0;0.0;5.29639e-07;0.0;0.0;0.0;0.0
448;0.0;3.52203e-07;0.0;3.52203e-07;0.0;0.0;2.42218e-07;0.0;0.0;0.0;0.0
449;4.40545e-07;2.71323e-08;0.0;2.71323e-08;0.0;0.0;4.40545e-07;0.0;0.0;0.0;0.0
450;3.23753e-07;0.0;0.0;0.0;0.0;0.0;3.97891e-07;0.0;6.47506e-08;0.0;0.0
451;9.11843e-06;0.0;0.0;0.0;0.0;0.0;1.55101e-07;0.0;3.03693e-07;0.0;0.0
452;1.73617e-05;7.2988e-07;0.0;0.0;0.0;0.0;6.96917e-07;0.0;2.43293e-07;0.0;0.0
453;6.77142e-06;3.33524e-06;0.0;0.0;0.0;0.0;5.69647e-07;0.0;1.19439e-07;0.0;0.0
454;1.99021e-05;1.40328e-05;0.0;0.0;0.0;0.0;4.46935e-07;0.0;4.171e-07;0.0;0.0
455;8.97976e-06;7.50336e-06;3.85331e-07;5.85758e-08;0.0;0.0;1.75728e-07;0.0;5.85758e-08;0.0;0.0
456;7.89362e-06;1.18074e-05;0.0;2.95528e-07;0.0;0.0;8.86583e-07;0.0;2.95528e-07;0.0;0.0
457;1.03604e-05;8.19108e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
458;2.1154e-05;8.14952e-06;3.20515e-07;0.0;0.0;0.0;6.41029e-07;0.0;0.0;0.0;0.0
459;1.66371e-05;2.39309e-05;3.146e-08;0.0;0.0;0.0;6.29201e-08;0.0;0.0;0.0;0.0
460;2.58793e-05;5.11217e-06;0.0;5.49394e-08;0.0;0.0;1.42405e-05;0.0;0.0;0.0;0.0
461;1.04662e-05;1.98818e-05;0.0;2.91198e-07;0.0;0.0;2.38876e-05;0.0;2.82413e-07;0.0;0.0
462;7.61092e-06;1.8094e-05;2.28343e-07;0.0;0.0;0.0;6.37672e-06;0.0;6.39744e-07;0.0;0.0
463;8.8395e-06;4.29444e-06;4.34986e-07;0.0;0.0;0.0;0.0;0.0;7.50683e-07;0.0;0.0
464;9.08467e-07;0.0;4.36859e-07;4.04414e-07;0.0;0.0;0.0;0.0;6.48905e-08;0.0;0.0
465;1.75468e-05;2.45895e-05;1.26122e-06;0.0;0.0;0.0;3.81453e-07;0.0;3.81453e-07;0.0;0.0
466;9.0629e-06;1.26956e-05;6.88298e-06;0.0;0.0;0.0;4.24823e-07;0.0;0.0;0.0;0.0
467;3.00071e-05;5.44942e-06;4.33255e-07;2.27871e-07;0.0;0.0;6.16152e-07;0.0;0.0;0.0;0.0
468;2.29699e-05;2.60806e-06;1.18758e-07;1.18758e-07;0.0;0.0;1.2606e-06;0.0;0.0;0.0;0.0
469;4.64658e-06;9.5322e-08;0.0;0.0;0.0;0.0;1.27096e-07;0.0;0.0;0.0;0.0
