wavelength;intensity;divided by 50
171,283;-59,49;-1,1898
171,67;-59,49;-1,1898
172,056;-59,49;-1,1898
172,443;-120,08;-2,4016
172,829;-101,95;-2,039
173,216;-97,29;-1,9458
173,602;-108,17;-2,1634
173,989;-106,1;-2,122
174,375;-95,74;-1,9148
174,762;-113,35;-2,267
175,148;-84,86;-1,6972
175,534;-40,33;-0,8066
175,921;-26,86;-0,5372
176,307;-14,95;-0,299
176,693;-2,01;-0,0402
177,08;13,01;0,2602
177,466;51,85;1,037
177,852;89,14;1,7828
178,238;77,23;1,5446
178,624;124,87;2,4974
179,01;96,39;1,9278
179,396;139,89;2,7978
179,782;142,99;2,8598
180,168;141,96;2,8392
180,554;211,35;4,227
180,94;233,1;4,662
181,326;232,58;4,6516
181,712;209,8;4,196
182,098;256,4;5,128
182,484;278,67;5,5734
182,87;286,96;5,7392
183,255;291,62;5,8324
183,641;265,21;5,3042
184,027;290,58;5,8116
184,413;283,33;5,6666
184,798;277,64;5,5528
185,184;325,8;6,516
185,57;306,64;6,1328
185,955;316,99;6,3398
186,341;365,67;7,3134
186,726;326,83;6,5366
187,112;323,73;6,4746
187,497;292,14;5,8428
187,883;315,44;6,3088
188,268;343,4;6,868
188,653;318,03;6,3606
189,039;320,1;6,402
189,424;334,6;6,692
189,809;329,94;6,5988
190,195;317,51;6,3502
190,58;332,01;6,6402
190,965;313,37;6,2674
191,35;309,74;6,1948
191,735;308,71;6,1742
192,12;300,94;6,0188
192,505;318,03;6,3606
192,891;303,01;6,0602
193,276;326,83;6,5366
193,661;307,15;6,143
194,046;309,23;6,1846
194,43;295,24;5,9048
194,815;286,44;5,7288
195,2;303,01;6,0602
195,585;282,82;5,6564
195,97;287,48;5,7496
196,355;263,14;5,2628
196,739;320,62;6,4124
197,124;290,58;5,8116
197,509;298,35;5,967
197,894;294,21;5,8842
198,278;278,67;5,5734
198,663;321,65;6,433
199,047;275,57;5,5114
199,432;278,15;5,563
199,816;261,58;5,2316
200,201;290,07;5,8014
200,585;302,49;6,0498
200,97;303,01;6,0602
201,354;284,89;5,6978
201,739;299,9;5,998
202,123;284,89;5,6978
202,507;306,12;6,1224
202,892;279,19;5,5838
203,276;269,87;5,3974
203,66;288,51;5,7702
204,044;303,01;6,0602
204,428;282,82;5,6564
204,813;308,71;6,1742
205,197;299,39;5,9878
205,581;302,49;6,0498
205,965;306,12;6,1224
206,349;258,99;5,1798
206,733;299,39;5,9878
207,117;304,05;6,081
207,501;325,28;6,5056
207,885;304,05;6,081
208,269;319,07;6,3814
208,652;308,19;6,1638
209,036;301,98;6,0396
209,42;325,28;6,5056
209,804;321,14;6,4228
210,187;322,69;6,4538
210,571;294,21;5,8842
210,955;294,73;5,8946
211,338;308,19;6,1638
211,722;292,65;5,853
212,106;313,89;6,2778
212,489;316,48;6,3296
212,873;316,48;6,3296
213,256;316,99;6,3398
213,64;314,4;6,288
214,023;309,74;6,1948
214,406;292,14;5,8428
214,79;297,32;5,9464
215,173;288,51;5,7702
215,556;292,65;5,853
215,94;310,78;6,2156
216,323;318,03;6,3606
216,706;314,92;6,2984
217,089;327,87;6,5574
217,472;300,94;6,0188
217,856;337,71;6,7542
218,239;333,05;6,661
218,622;290,58;5,8116
219,005;308,19;6,1638
219,388;323,73;6,4746
219,771;321,14;6,4228
220,154;306,12;6,1224
220,537;322,69;6,4538
220,919;331,49;6,6298
221,302;339,78;6,7956
221,685;325,28;6,5056
222,068;300,94;6,0188
222,451;332,53;6,6506
222,833;332,01;6,6402
223,216;342,89;6,8578
223,599;335,12;6,7024
223,981;347,03;6,9406
224,364;316,99;6,3398
224,746;314,4;6,288
225,129;330,46;6,6092
225,512;333,57;6,6714
225,894;348,58;6,9716
226,276;337,71;6,7542
226,659;313,89;6,2778
227,041;343,92;6,8784
227,424;299,9;5,998
227,806;343,4;6,868
228,188;315,96;6,3192
228,57;318,03;6,3606
228,953;330,46;6,6092
229,335;332,53;6,6506
229,717;312,33;6,2466
230,099;318,55;6,371
230,481;353,76;7,0752
230,863;347,55;6,951
231,245;348,07;6,9614
231,627;342,37;6,8474
232,009;341,85;6,837
232,391;339,78;6,7956
232,773;359,46;7,1892
233,155;359,46;7,1892
233,537;340,82;6,8164
233,919;362,05;7,241
234,301;355,32;7,1064
234,682;355,83;7,1166
235,064;347,55;6,951
235,446;367,23;7,3446
235,828;354,28;7,0856
236,209;354,28;7,0856
236,591;363,6;7,272
236,972;344,96;6,8992
237,354;357,39;7,1478
237,736;373,44;7,4688
238,117;360,49;7,2098
238,498;383,28;7,6656
238,88;351,69;7,0338
239,261;351,17;7,0234
239,643;373,96;7,4792
240,024;372,41;7,4482
240,405;360,49;7,2098
240,787;393,12;7,8624
241,168;400,37;8,0074
241,549;379,66;7,5932
241,93;371,37;7,4274
242,311;381,73;7,6346
242,692;415,91;8,3182
243,073;385,35;7,707
243,455;394,67;7,8934
243,836;452,67;9,0534
244,217;434,55;8,691
244,597;458,37;9,1674
244,978;520,51;10,4102
245,359;482,71;9,6542
245,74;515,33;10,3066
246,121;544,33;10,8866
246,502;555,73;11,1146
246,883;615,28;12,3056
247,263;652,57;13,0514
247,644;687,78;13,7556
248,025;801,19;16,0238
248,405;1005,75;20,115
248,786;1760,78;35,2156
249,166;3637,5;72,75
249,547;7087,48;141,7496
249,927;11989,53;239,7906
250,308;18371,1;367,422
250,688;23885,25;477,705
251,069;28120,82;562,4164
251,449;31194,31;623,8862
251,83;32913,08;658,2616
252,21;34296,28;685,9256
252,59;35138,84;702,7768
252,97;35981,39;719,6278
253,351;37212,34;744,2468
253,731;37834,29;756,6858
254,111;38938,89;778,7778
254,491;39696,51;793,9302
254,871;40300,85;806,017
255,251;40879,3;817,586
255,631;41477,43;829,5486
256,011;41799,02;835,9804
256,391;42316,36;846,3272
256,771;42142,36;842,8472
257,151;41867,89;837,3578
257,531;40680,44;813,6088
257,911;38252,72;765,0544
258,291;34204,62;684,0924
258,67;28051,94;561,0388
259,05;21155,62;423,1124
259,43;14816,52;296,3304
259,81;9456,16;189,1232
260,189;4861,72;97,2344
260,569;2055,45;41,109
260,948;1147,64;22,9528
261,328;960,17;19,2034
261,707;841,58;16,8316
262,087;799,64;15,9928
262,466;761,32;15,2264
262,846;733,35;14,667
263,225;704,87;14,0974
263,605;646,35;12,927
263,984;629,26;12,5852
264,363;603,37;12,0674
264,742;588,87;11,7774
265,122;595,6;11,912
265,501;562,98;11,2596
265,88;564,53;11,2906
266,259;583,17;11,6634
266,638;529,32;10,5864
267,017;558,32;11,1664
267,396;531,91;10,6382
267,775;532,94;10,6588
268,154;551,58;11,0316
268,533;543,82;10,8764
268,912;503,42;10,0684
269,291;531,91;10,6382
269,67;491,51;9,8302
270,049;535,01;10,7002
270,427;513,78;10,2756
270,806;496,69;9,9338
271,185;498,76;9,9752
271,563;519,48;10,3896
271,942;502,39;10,0478
272,321;500,32;10,0064
272,699;540,71;10,8142
273,078;540,19;10,8038
273,456;510,67;10,2134
273,835;496,17;9,9234
274,213;531,91;10,6382
274,592;531,91;10,6382
274,97;547,44;10,9488
275,348;593,53;11,8706
275,727;540,71;10,8142
276,105;560,91;11,2182
276,483;549,51;10,9902
276,861;559,87;11,1974
277,24;576,44;11,5288
277,618;579,55;11,591
277,996;601,82;12,0364
278,374;637,03;12,7406
278,752;630,82;12,6164
279,13;603,37;12,0674
279,508;599,23;11,9846
279,886;611,14;12,2228
280,264;589,39;11,7878
280,642;577,48;11,5496
281,02;584,21;11,6842
281,397;595,6;11,912
281,775;637,03;12,7406
282,153;604,41;12,0882
282,531;586,28;11,7256
282,908;560,91;11,2182
283,286;600,26;12,0052
283,664;567,64;11,3528
284,041;597,16;11,9432
284,419;581,62;11,6324
284,796;602,33;12,0466
285,174;557,28;11,1456
285,551;620,46;12,4092
285,929;602,33;12,0466
286,306;605,96;12,1192
286,683;609,58;12,1916
287,061;595,08;11,9016
287,438;615,28;12,3056
287,815;605,44;12,1088
288,192;617,87;12,3574
288,569;644,8;12,896
288,947;596,12;11,9224
289,324;611,66;12,2332
289,701;556,24;11,1248
290,078;595,08;11,9016
290,455;558,32;11,1664
290,832;574,89;11,4978
291,209;595,08;11,9016
291,586;608,55;12,171
291,963;653,6;13,072
292,339;777,37;15,5474
292,716;881,46;17,6292
293,093;1008,85;20,177
293,47;1121,75;22,435
293,846;1205,12;24,1024
294,223;1267,78;25,3556
294,6;1254,32;25,0864
294,976;1302,48;26,0496
295,353;1318,53;26,3706
295,729;1297,3;25,946
296,106;1281,25;25,625
296,482;1340,8;26,816
296,859;1313,87;26,2774
297,235;1324,75;26,495
297,612;1393,62;27,8724
297,988;1414,34;28,2868
298,364;1407,09;28,1418
298,741;1413,82;28,2764
299,117;1390;27,8
299,493;1403,46;28,0692
299,869;1407,6;28,152
300,245;1430,91;28,6182
300,621;1331,48;26,6296
300,997;1275,03;25,5006
301,373;1118,12;22,3624
301,749;1029,57;20,5914
302,125;904,25;18,085
302,501;830,71;16,6142
302,877;768,57;15,3714
303,253;661,89;13,2378
303,629;596,64;11,9328
304,005;633,92;12,6784
304,38;586,8;11,736
304,756;607,51;12,1502
305,132;580,58;11,6116
305,508;621,49;12,4298
305,883;613,73;12,2746
306,259;578,51;11,5702
306,634;564,01;11,2802
307,01;595,6;11,912
307,385;571,26;11,4252
307,761;714,71;14,2942
308,136;978,3;19,566
308,512;1493,05;29,861
308,887;2183,87;43,6774
309,262;2950,3;59,006
309,637;3519,95;70,399
310,013;3976,7;79,534
310,388;4261;85,22
310,763;4462,45;89,249
311,138;4579,49;91,5898
311,513;4646,81;92,9362
311,888;4717,76;94,3552
312,263;4778,35;95,567
312,638;4929,04;98,5808
313,013;4868,97;97,3794
313,388;4876,22;97,5244
313,763;4876,74;97,5348
314,138;4853,95;97,079
314,513;4787,15;95,743
314,888;4855,51;97,1102
315,262;4778,86;95,5772
315,637;4741,06;94,8212
316,012;4721,9;94,438
316,386;4442,77;88,8554
316,761;4134,65;82,693
317,136;3828,59;76,5718
317,51;3262,57;65,2514
317,885;2648,39;52,9678
318,259;2084,45;41,689
318,634;1602,84;32,0568
319,008;1162,14;23,2428
319,382;805,85;16,117
319,757;593,01;11,8602
320,131;490,99;9,8198
320,505;462,51;9,2502
320,88;432,99;8,6598
321,254;431,44;8,6288
321,628;420,57;8,4114
322,002;427,82;8,5564
322,376;386,91;7,7382
322,75;417,98;8,3596
323,124;408,66;8,1732
323,498;426,78;8,5356
323,872;389,49;7,7898
324,246;378,1;7,562
324,62;388,46;7,7692
324,994;420,05;8,401
325,368;400,37;8,0074
325,741;411,24;8,2248
326,115;402,96;8,0592
326,489;368,78;7,3756
326,862;379,66;7,5932
327,236;384,32;7,6864
327,61;371,37;7,4274
327,983;419,53;8,3906
328,357;382,76;7,6552
328,73;405,03;8,1006
329,104;386,91;7,7382
329,477;391,57;7,8314
329,851;420,57;8,4114
330,224;457,33;9,1466
330,597;463,03;9,2606
330,97;471,83;9,4366
331,344;480,64;9,6128
331,717;535,01;10,7002
332,09;509,12;10,1824
332,463;536,57;10,7314
332,836;532,94;10,6588
333,209;472,87;9,4574
333,582;554,17;11,0834
333,955;535,01;10,7002
334,328;521,55;10,431
334,701;544,85;10,897
335,074;521,03;10,4206
335,447;530,87;10,6174
335,82;533,98;10,6796
336,193;560,91;11,2182
336,565;506,01;10,1202
336,938;492,03;9,8406
337,311;523,62;10,4724
337,683;495,66;9,9132
338,056;487,89;9,7578
338,429;497,73;9,9546
338,801;473,91;9,4782
339,174;472,35;9,447
339,546;420,57;8,4114
339,918;432,48;8,6496
340,291;444,39;8,8878
340,663;402,96;8,0592
341,036;395,19;7,9038
341,408;401,41;8,0282
341,78;405,55;8,111
342,152;415,91;8,3182
342,524;406,07;8,1214
342,897;393,64;7,8728
343,269;389,49;7,7898
343,641;398,82;7,9764
344,013;398,3;7,966
344,385;403,99;8,0798
344,757;421,08;8,4216
345,129;387,42;7,7484
345,501;394,67;7,8934
345,872;430,92;8,6184
