wavelength;intensity;divided by 50
171,283;-82,34;-1,829777778
171,67;-82,34;-1,829777778
172,056;-82,34;-1,829777778
172,443;-83,89;-1,864222222
172,829;-102,02;-2,267111111
173,216;-108,23;-2,405111111
173,602;-111,34;-2,474222222
173,989;-90,63;-2,014
174,375;-89,07;-1,979333333
174,762;-33,66;-0,748
175,148;-49,2;-1,093333333
175,534;-63,18;-1,404
175,921;-34,18;-0,759555556
176,307;-49,2;-1,093333333
176,693;2,59;0,057555556
177,08;39,36;0,874666667
177,466;2,59;0,057555556
177,852;64,21;1,426888889
178,238;72,5;1,611111111
178,624;103,05;2,29
179,01;120,66;2,681333333
179,396;115,48;2,566222222
179,782;169,34;3,763111111
180,168;188,5;4,188888889
180,554;212,32;4,718222222
180,94;198,34;4,407555556
181,326;218,54;4,856444444
181,712;251,68;5,592888889
182,098;266,7;5,926666667
182,484;260,48;5,788444444
182,87;276,54;6,145333333
183,255;296,22;6,582666667
183,641;284,3;6,317777778
184,027;302,95;6,732222222
184,413;310,72;6,904888889
184,798;302,95;6,732222222
185,184;349,55;7,767777778
185,57;334,54;7,434222222
185,955;334,54;7,434222222
186,341;336,61;7,480222222
186,726;332,47;7,388222222
187,112;338,16;7,514666667
187,497;306,57;6,812666667
187,883;340,23;7,560666667
188,268;303,47;6,743777778
188,653;340,75;7,572222222
189,039;353,18;7,848444444
189,424;323,14;7,180888889
189,809;309,16;6,870222222
190,195;306,05;6,801111111
190,58;321,59;7,146444444
190,965;358,88;7,975111111
191,35;294,66;6,548
191,735;329,88;7,330666667
192,12;325,73;7,238444444
192,505;348,52;7,744888889
192,891;319,52;7,100444444
193,276;346,45;7,698888889
193,661;310,72;6,904888889
194,046;297,25;6,605555556
194,43;310,2;6,893333333
194,815;292,59;6,502
195,2;302,43;6,720666667
195,585;317,97;7,066
195,97;321,59;7,146444444
196,355;326,77;7,261555556
196,739;303,47;6,743777778
197,124;313,3;6,962222222
197,509;313,82;6,973777778
197,894;292,59;6,502
198,278;327,8;7,284444444
198,663;292,59;6,502
199,047;307,09;6,824222222
199,432;311,23;6,916222222
199,816;304,5;6,766666667
200,201;310,72;6,904888889
200,585;315,38;7,008444444
200,97;300,36;6,674666667
201,354;309,68;6,881777778
201,739;319;7,088888889
202,123;280,68;6,237333333
202,507;313,3;6,962222222
202,892;337,64;7,503111111
203,276;287,41;6,386888889
203,66;283,79;6,306444444
204,044;298,8;6,64
204,428;309,68;6,881777778
204,813;280,68;6,237333333
205,197;307,61;6,835777778
205,581;302,43;6,720666667
205,965;324,7;7,215555556
206,349;317,97;7,066
206,733;299,84;6,663111111
207,117;344,89;7,664222222
207,501;314,34;6,985333333
207,885;326,77;7,261555556
208,269;329,36;7,319111111
208,652;322,11;7,158
209,036;302,43;6,720666667
209,42;309,16;6,870222222
209,804;333,5;7,411111111
210,187;329,88;7,330666667
210,571;297,77;6,617111111
210,955;309,16;6,870222222
211,338;284,82;6,329333333
211,722;315,38;7,008444444
212,106;326,25;7,25
212,489;337,13;7,491777778
212,873;315,38;7,008444444
213,256;280,16;6,225777778
213,64;328,32;7,296
214,023;340,75;7,572222222
214,406;328,84;7,307555556
214,79;342,82;7,618222222
215,173;310,2;6,893333333
215,556;331,43;7,365111111
215,94;333,5;7,411111111
216,323;292,07;6,490444444
216,706;319;7,088888889
217,089;345,41;7,675777778
217,472;340,75;7,572222222
217,856;320,55;7,123333333
218,239;334,02;7,422666667
218,622;327,29;7,273111111
219,005;311,75;6,927777778
219,388;301,39;6,697555556
219,771;331,95;7,376666667
220,154;340,75;7,572222222
220,537;326,77;7,261555556
220,919;322,11;7,158
221,302;329,88;7,330666667
221,685;326,25;7,25
222,068;325,22;7,227111111
222,451;373,38;8,297333333
222,833;378,04;8,400888889
223,216;337,64;7,503111111
223,599;340,23;7,560666667
223,981;365,09;8,113111111
224,364;360,95;8,021111111
224,746;343,86;7,641333333
225,129;383,73;8,527333333
225,512;385,8;8,573333333
225,894;355,77;7,906
226,276;340,75;7,572222222
226,659;352,14;7,825333333
227,041;339,72;7,549333333
227,424;351,63;7,814
227,806;356,8;7,928888889
228,188;334,54;7,434222222
228,57;329,36;7,319111111
228,953;345,93;7,687333333
229,335;366,13;8,136222222
229,717;338,16;7,514666667
230,099;371,82;8,262666667
230,481;312,27;6,939333333
230,863;343,34;7,629777778
231,245;357,84;7,952
231,627;371,82;8,262666667
232,009;350,07;7,779333333
232,391;370,79;8,239777778
232,773;387,36;8,608
233,155;354,73;7,882888889
233,537;409,11;9,091333333
233,919;365,61;8,124666667
234,301;350,59;7,790888889
234,682;363,02;8,067111111
235,064;346,97;7,710444444
235,446;364,05;8,09
235,828;340,23;7,560666667
236,209;391,5;8,7
236,591;375,45;8,343333333
236,972;381,14;8,469777778
237,354;393,05;8,734444444
237,736;355,25;7,894444444
238,117;375,45;8,343333333
238,498;392,02;8,711555556
238,88;396,16;8,803555556
239,261;371,82;8,262666667
239,643;348;7,733333333
240,024;392,54;8,723111111
240,405;400,82;8,907111111
240,787;388,91;8,642444444
241,168;399,27;8,872666667
241,549;424,64;9,436444444
241,93;416,88;9,264
242,311;408,59;9,079777778
242,692;383,22;8,516
243,073;392,02;8,711555556
243,455;423,61;9,413555556
243,836;455,72;10,12711111
244,217;485,23;10,78288889
244,597;472,29;10,49533333
244,978;546,86;12,15244444
245,359;513,2;11,40444444
245,74;573,79;12,75088889
246,121;621,95;13,82111111
246,502;598,64;13,30311111
246,883;611,59;13,59088889
247,263;663,38;14,74177778
247,644;718,79;15,97311111
248,025;830,13;18,44733333
248,405;1140,32;25,34044444
248,786;1976,67;43,926
249,166;4072,96;90,51022222
249,547;7997,81;177,7291111
249,927;13259,77;294,6615556
250,308;20230,14;449,5586667
250,688;26295,3;584,34
251,069;30814,66;684,7702222
251,449;34014,5;755,8777778
251,83;35803,7;795,6377778
252,21;37339,16;829,7591111
