wavelength;intensity;divided by 50
171,283;-65,74;-1,3148
171,67;-65,74;-1,3148
172,056;-65,74;-1,3148
172,443;-120,11;-2,4022
172,829;-69,88;-1,3976
173,216;-82,83;-1,6566
173,602;-115,97;-2,3194
173,989;-114,41;-2,2882
174,375;-100,95;-2,019
174,762;-53,31;-1,0662
175,148;-66,77;-1,3354
175,534;-36,22;-0,7244
175,921;-31,56;-0,6312
176,307;2,62;0,0524
176,693;-17,06;-0,3412
177,08;36,8;0,736
177,466;13,5;0,27
177,852;61,14;1,2228
178,238;79,26;1,5852
178,624;96,35;1,927
179,01;113,96;2,2792
179,396;132,6;2,652
179,782;138,3;2,766
180,168;187,5;3,75
180,554;161,6;3,232
180,94;239,28;4,7856
181,326;206,66;4,1332
181,712;223,23;4,4646
182,098;251,71;5,0342
182,484;243,43;4,8686
182,87;256,37;5,1274
183,255;255,85;5,117
183,641;282,27;5,6454
184,027;277,09;5,5418
184,413;283,3;5,666
184,798;317,48;6,3496
185,184;324,73;6,4946
185,57;308,68;6,1736
185,955;310,75;6,215
186,341;292,1;5,842
186,726;263,62;5,2724
187,112;326,8;6,536
187,497;342,34;6,8468
187,883;301,43;6,0286
188,268;312,82;6,2564
188,653;330,94;6,6188
189,039;341,3;6,826
189,424;323,69;6,4738
189,809;291,07;5,8214
190,195;320,07;6,4014
190,58;329,91;6,5982
190,965;362,02;7,2404
191,35;306,09;6,1218
191,735;296,25;5,925
192,12;327,32;6,5464
192,505;308,16;6,1632
192,891;320,07;6,4014
193,276;294,18;5,8836
193,661;284,34;5,6868
194,046;305,57;6,1114
194,43;281,23;5,6246
194,815;304,02;6,0804
195,2;299,35;5,987
195,585;284,85;5,697
195,97;312,82;6,2564
196,355;323,69;6,4738
196,739;301,94;6,0388
197,124;286,41;5,7282
197,509;292,62;5,8524
197,894;306,6;6,132
198,278;308,16;6,1632
198,663;284,34;5,6868
199,047;313,34;6,2668
199,432;313,85;6,277
199,816;289;5,78
200,201;291,07;5,8214
200,585;286,41;5,7282
200,97;289;5,78
201,354;291,59;5,8318
201,739;276,57;5,5314
202,123;286,93;5,7386
202,507;309,19;6,1838
202,892;310,75;6,215
203,276;312,82;6,2564
203,66;264,66;5,2932
204,044;284,34;5,6868
204,428;274,5;5,49
204,813;298,84;5,9768
205,197;302,46;6,0492
205,581;292,1;5,842
205,965;297,8;5,956
206,349;330,43;6,6086
206,733;288,48;5,7696
207,117;318;6,36
207,501;276,57;5,5314
207,885;282,78;5,6556
208,269;325,77;6,5154
208,652;286,93;5,7386
209,036;305,05;6,101
209,42;279,16;5,5832
209,804;310,23;6,2046
210,187;295,21;5,9042
210,571;270,35;5,407
210,955;297,28;5,9456
211,338;321,1;6,422
211,722;324,73;6,4946
212,106;308,68;6,1736
212,489;283,3;5,666
212,873;309,19;6,1838
213,256;321,62;6,4324
213,64;302,46;6,0492
214,023;303,5;6,07
214,406;319,03;6,3806
214,79;279,16;5,5832
215,173;304,02;6,0804
215,556;320,59;6,4118
215,94;312,82;6,2564
216,323;341,3;6,826
216,706;333,53;6,6706
217,089;301,43;6,0286
217,472;328,35;6,567
217,856;292,62;5,8524
218,239;317,48;6,3496
218,622;307,12;6,1424
219,005;309,71;6,1942
219,388;336,64;6,7328
219,771;320,07;6,4014
220,154;318;6,36
220,537;343,89;6,8778
220,919;298,32;5,9664
221,302;331,46;6,6292
221,685;311,78;6,2356
222,068;328,35;6,567
222,451;339,23;6,7846
222,833;332,5;6,65
223,216;318,52;6,3704
223,599;333,02;6,6604
223,981;328,87;6,5774
224,364;319,03;6,3806
224,746;314,89;6,2978
225,129;345,44;6,9088
225,512;322,66;6,4532
225,894;317,48;6,3496
226,276;340,27;6,8054
226,659;319,03;6,3806
227,041;305,57;6,1114
227,424;320,59;6,4118
227,806;321,1;6,422
228,188;311,78;6,2356
228,57;311,27;6,2254
228,953;324,73;6,4946
229,335;322,66;6,4532
229,717;352,69;7,0538
230,099;337,68;6,7536
230,481;324,73;6,4946
230,863;314,37;6,2874
231,245;342,85;6,857
231,627;330,94;6,6188
232,009;346,48;6,9296
232,391;332,5;6,65
232,773;363,05;7,261
233,155;333,53;6,6706
233,537;346,48;6,9296
233,919;360,46;7,2092
234,301;336,12;6,7224
234,682;327,32;6,5464
235,064;339,23;6,7846
235,446;352,69;7,0538
235,828;328,87;6,5774
236,209;326,8;6,536
236,591;360,46;7,2092
236,972;343,37;6,8674
237,354;351,66;7,0332
237,736;360,98;7,2196
238,117;330,43;6,6086
238,498;314,37;6,2874
238,88;360,98;7,2196
239,261;315,41;6,3082
239,643;339,23;6,7846
240,024;333,53;6,6706
240,405;332,5;6,65
240,787;365,12;7,3024
241,168;376,52;7,5304
241,549;343,37;6,8674
241,93;351,66;7,0332
242,311;369,27;7,3854
242,692;370,82;7,4164
243,073;412,77;8,2554
243,455;350,1;7,002
243,836;379,62;7,5924
244,217;394,12;7,8824
244,597;397,23;7,9446
244,978;432,44;8,6488
245,359;450,05;9,001
245,74;490,44;9,8088
246,121;472,32;9,4464
246,502;456,27;9,1254
246,883;524,11;10,4822
247,263;551,03;11,0206
247,644;583,14;11,6628
