wavelength;intensity;divided by 50
171,283;-71,24;-1,4248
171,67;-71,24;-1,4248
172,056;-71,24;-1,4248
172,443;-77,97;-1,5594
172,829;-102,83;-2,0566
173,216;-138,56;-2,7712
173,602;-110,08;-2,2016
173,989;-93,51;-1,8702
174,375;-97,65;-1,953
174,762;-86,77;-1,7354
175,148;-30,33;-0,6066
175,534;-48,45;-0,969
175,921;-24,63;-0,4926
176,307;-15,31;-0,3062
176,693;7,99;0,1598
177,08;48,91;0,9782
177,466;28,71;0,5742
177,852;57,19;1,1438
178,238;58,23;1,1646
178,624;95,51;1,9102
179,01;59,26;1,1852
179,396;150,92;3,0184
179,782;177,85;3,557
180,168;196,49;3,9298
180,554;208,41;4,1682
180,94;199,6;3,992
181,326;225,5;4,51
181,712;236,37;4,7274
182,098;247,76;4,9552
182,484;271,07;5,4214
182,87;249,32;4,9864
183,255;309,39;6,1878
183,641;276,25;5,525
184,027;294,37;5,8874
184,413;296,44;5,9288
184,798;314,05;6,281
185,184;295,41;5,9082
185,57;338,39;6,7678
185,955;310,42;6,2084
186,341;335,28;6,7056
186,726;329,58;6,5916
187,112;360,66;7,2132
187,497;351,33;7,0266
187,883;344,6;6,892
188,268;299,55;5,991
188,653;336,32;6,7264
189,039;347,71;6,9542
189,424;320,78;6,4156
189,809;348,75;6,975
190,195;359,1;7,182
190,58;322,85;6,457
190,965;328,55;6,571
191,35;348,23;6,9646
191,735;295,92;5,9184
192,12;332,17;6,6434
192,505;308,35;6,167
192,891;337,87;6,7574
193,276;295,41;5,9082
193,661;343,05;6,861
194,046;331,66;6,6332
194,43;298;5,96
194,815;322,85;6,457
195,2;318,71;6,3742
195,585;306,28;6,1256
195,97;306,8;6,136
196,355;311,98;6,2396
196,739;291,78;5,8356
197,124;334,76;6,6952
197,509;285,57;5,7114
197,894;297,48;5,9496
198,278;323,37;6,4674
198,663;334,25;6,685
199,047;291,78;5,8356
199,432;278,32;5,5664
199,816;322,85;6,457
200,201;329,58;6,5916
200,585;335,8;6,716
200,97;297,48;5,9496
201,354;311,98;6,2396
201,739;321,82;6,4364
202,123;305,76;6,1152
202,507;324,92;6,4984
202,892;331,14;6,6228
203,276;303,69;6,0738
203,66;320,26;6,4052
204,044;300,07;6,0014
204,428;269;5,38
204,813;328,03;6,5606
205,197;335,8;6,716
205,581;258,64;5,1728
205,965;271,07;5,4214
206,349;317,67;6,3534
206,733;334,25;6,685
207,117;314,05;6,281
207,501;318,71;6,3742
207,885;303,17;6,0634
208,269;288,67;5,7734
208,652;302,66;6,0532
209,036;296,96;5,9392
209,42;282,46;5,6492
209,804;269,51;5,3902
210,187;291,78;5,8356
210,571;331,14;6,6228
210,955;314,05;6,281
211,338;328,03;6,5606
211,722;318,19;6,3638
212,106;315,08;6,3016
212,489;332,17;6,6434
212,873;319,75;6,395
213,256;328,55;6,571
213,64;308,87;6,1774
214,023;322,33;6,4466
214,406;334,76;6,6952
214,79;295,41;5,9082
215,173;298;5,96
215,556;340,46;6,8092
215,94;334,25;6,685
216,323;330,62;6,6124
216,706;300,58;6,0116
217,089;292,3;5,846
217,472;333,73;6,6746
217,856;335,28;6,7056
218,239;316,12;6,3224
218,622;321,3;6,426
219,005;329,07;6,5814
219,388;352,37;7,0474
219,771;334,25;6,685
220,154;353,41;7,0682
220,537;355,48;7,1096
220,919;328,55;6,571
221,302;372,57;7,4514
221,685;362,73;7,2546
222,068;374,12;7,4824
222,451;310,94;6,2188
222,833;330,1;6,602
223,216;311,98;6,2396
223,599;337,87;6,7574
223,981;333,73;6,6746
224,364;315,6;6,312
224,746;356,51;7,1302
225,129;368,42;7,3684
225,512;382,41;7,6482
225,894;359,62;7,1924
226,276;315,6;6,312
226,659;350,82;7,0164
227,041;335,8;6,716
227,424;345,64;6,9128
227,806;347,71;6,9542
228,188;341,5;6,83
228,57;368,42;7,3684
228,953;326,48;6,5296
229,335;352,37;7,0474
229,717;354,96;7,0992
230,099;341,5;6,83
230,481;331,66;6,6332
230,863;347,19;6,9438
231,245;343,05;6,861
231,627;320,78;6,4156
232,009;354,44;7,0888
232,391;345,12;6,9024
232,773;365,32;7,3064
233,155;346,16;6,9232
233,537;362,21;7,2442
233,919;359,62;7,1924
234,301;350,3;7,006
234,682;357,55;7,151
235,064;380,33;7,6066
235,446;362,21;7,2442
235,828;363,76;7,2752
236,209;357,55;7,151
236,591;384,48;7,6896
236,972;370,5;7,41
237,354;368,42;7,3684
237,736;364,28;7,2856
238,117;392,76;7,8552
238,498;353,92;7,0784
238,88;382,92;7,6584
239,261;374,12;7,4824
239,643;356,51;7,1302
240,024;363,25;7,265
240,405;373,08;7,4616
240,787;373,6;7,472
241,168;362,21;7,2442
241,549;346,16;6,9232
241,93;366,87;7,3374
242,311;414,51;8,2902
242,692;410,37;8,2074
243,073;359,62;7,1924
243,455;429,01;8,5802
243,836;436,78;8,7356
244,217;456,46;9,1292
244,597;459,05;9,181
244,978;503,07;10,0614
245,359;513,94;10,2788
245,74;536,21;10,7242
246,121;534,66;10,6932
246,502;579,71;11,5942
246,883;589,03;11,7806
247,263;634,6;12,692
247,644;686,91;13,7382
248,025;785,3;15,706
248,405;1019,37;20,3874
248,786;1764,05;35,281
249,166;3668,22;73,3644
249,547;7164,8;143,296
249,927;12016,1;240,322
250,308;18361,94;367,2388
250,688;24212,7;484,254
251,069;28230,77;564,6154
251,449;31205,87;624,1174
251,83;33165,44;663,3088
252,21;34427,98;688,5596
252,59;35122,95;702,459
252,97;36141,58;722,8316
253,351;37597,79;751,9558
253,731;38258,58;765,1716
254,111;39099,07;781,9814
254,491;40274,09;805,4818
254,871;40601,37;812,0274
255,251;41101,62;822,0324
255,631;41724,09;834,4818
256,011;41951,95;839,039
256,391;42719,41;854,3882
256,771;42526,25;850,525
257,151;42074,68;841,4936
257,531;41136,32;822,7264
257,911;38541,33;770,8266
258,291;34315,09;686,3018
258,67;28381,46;567,6292
259,05;21256,25;425,125
259,43;15009,32;300,1864
259,81;9424,73;188,4946
260,189;4977,37;99,5474
260,569;2115,68;42,3136
260,948;1215,12;24,3024
261,328;1005,39;20,1078
261,707;871,26;17,4252
262,087;842,26;16,8452
262,466;772,87;15,4574
262,846;733;14,66
263,225;715,91;14,3182
263,605;654,28;13,0856
263,984;644,44;12,8888
264,363;619,59;12,3918
264,742;581,78;11,6356
265,122;590,59;11,8118
265,501;599,91;11,9982
265,88;569,35;11,387
266,259;586,44;11,7288
266,638;548,64;10,9728
267,017;568,84;11,3768
267,396;526,37;10,5274
267,775;570,39;11,4078
268,154;519,64;10,3928
268,533;588;11,76
268,912;545,53;10,9106
269,291;536,73;10,7346
269,67;525,34;10,5068
270,049;523,78;10,4756
270,427;528,44;10,5688
270,806;519,64;10,3928
271,185;527,41;10,5482
271,563;518,6;10,372
271,942;507,73;10,1546
272,321;537,25;10,745
272,699;531,55;10,631
273,078;510,32;10,2064
273,456;529,48;10,5896
273,835;524,82;10,4964
274,213;522,23;10,4446
274,592;567,8;11,356
274,97;517,05;10,341
275,348;571,42;11,4284
275,727;563,14;11,2628
276,105;589,03;11,7806
276,483;580,23;11,6046
276,861;558,48;11,1696
277,24;596,28;11,9256
277,618;598,35;11,967
277,996;599,91;11,9982
278,374;596,28;11,9256
278,752;576,09;11,5218
279,13;639,26;12,7852
279,508;607,67;12,1534
279,886;603,53;12,0706
280,264;629,94;12,5988
280,642;635,64;12,7128
281,02;612,85;12,257
281,397;588,51;11,7702
281,775;596,28;11,9256
282,153;570,91;11,4182
282,531;603,01;12,0602
282,908;612,34;12,2468
283,286;581,26;11,6252
283,664;599,91;11,9982
284,041;592,14;11,8428
284,419;607,67;12,1534
284,796;579,19;11,5838
285,174;586,96;11,7392
285,551;615,44;12,3088
285,929;626,84;12,5368
286,306;634,6;12,692
286,683;627,87;12,5574
287,061;600,42;12,0084
287,438;613,37;12,2674
287,815;591,1;11,822
288,192;586,96;11,7392
288,569;624,76;12,4952
288,947;588,51;11,7702
289,324;614,92;12,2984
289,701;563,66;11,2732
290,078;576,6;11,532
290,455;565,73;11,3146
290,832;609,75;12,195
291,209;597,32;11,9464
291,586;623,73;12,4746
291,963;676,03;13,5206
292,339;768,21;15,3642
292,716;900,78;18,0156
293,093;1030,77;20,6154
293,47;1117,77;22,3554
293,846;1159,71;23,1942
294,223;1202,69;24,0538
294,6;1232,73;24,6546
294,976;1319,73;26,3946
295,353;1333,19;26,6638
295,729;1265,87;25,3174
296,106;1287,11;25,7422
296,482;1302,12;26,0424
296,859;1314,03;26,2806
297,235;1328,53;26,5706
297,612;1305,23;26,1046
297,988;1393,27;27,8654
298,364;1385,5;27,71
298,741;1409,32;28,1864
299,117;1407,25;28,145
299,493;1388,09;27,7618
299,869;1385,5;27,71
300,245;1356,5;27,13
300,621;1320,25;26,405
300,997;1274,68;25,4936
301,373;1175,25;23,505
301,749;1041,12;20,8224
302,125;918,39;18,3678
302,501;829,84;16,5968
302,877;738,69;14,7738
303,253;632,53;12,6506
303,629;599,39;11,9878
304,005;611,82;12,2364
304,38;624,25;12,485
304,756;597,84;11,9568
305,132;581,78;11,6356
305,508;565,21;11,3042
305,883;625,28;12,5056
306,259;603,53;12,0706
306,634;561,59;11,2318
307,01;571,94;11,4388
307,385;574,53;11,4906
307,761;702,96;14,0592
308,136;935,48;18,7096
308,512;1463,69;29,2738
308,887;2204,75;44,095
309,262;2899,72;57,9944
309,637;3429,49;68,5898
310,013;3874,84;77,4968
310,388;4130,67;82,6134
310,763;4368,88;87,3776
311,138;4431,54;88,6308
311,513;4506,63;90,1326
311,888;4639,72;92,7944
312,263;4664,06;93,2812
312,638;4673,9;93,478
313,013;4726,72;94,5344
313,388;4796,11;95,9222
313,763;4745,36;94,9072
314,138;4747,44;94,9488
314,513;4767,11;95,3422
314,888;4720,51;94,4102
315,262;4678,56;93,5712
315,637;4634,02;92,6804
316,012;4516,99;90,3398
316,386;4451,74;89,0348
316,761;4090,27;81,8054
317,136;3738,13;74,7626
317,51;3141,04;62,8208
317,885;2670,31;53,4062
318,259;2040,07;40,8014
318,634;1565,71;31,3142
319,008;1112,07;22,2414
319,382;793,07;15,8614
319,757;621,14;12,4228
320,131;519,64;10,3928
320,505;503,59;10,0718
320,88;454,39;9,0878
321,254;434,71;8,6942
321,628;439,37;8,7874
322,002;426,94;8,5388
322,376;412,96;8,2592
322,75;397,94;7,9588
323,124;427,98;8,5596
323,498;421,76;8,4352
323,872;394,83;7,8966
324,246;383,96;7,6792
324,62;401,05;8,021
324,994;402,08;8,0416
325,368;412,96;8,2592
325,741;392,25;7,845
326,115;389,14;7,7828
326,489;395,87;7,9174
326,862;425,39;8,5078
327,236;399,5;7,99
327,61;417,62;8,3524
327,983;425,39;8,5078
328,357;420,21;8,4042
328,73;396,39;7,9278
329,104;419,17;8,3834
329,477;429,01;8,5802
329,851;401,57;8,0314
330,224;440,92;8,8184
330,597;495,3;9,906
330,97;543,46;10,8692
331,344;495,82;9,9164
331,717;489,09;9,7818
332,09;509,28;10,1856
332,463;524,82;10,4964
332,836;520,67;10,4134
333,209;513,42;10,2684
333,582;505,66;10,1132
333,955;530,51;10,6102
334,328;547,09;10,9418
334,701;523,78;10,4756
335,074;526,37;10,5274
335,447;530;10,6
335,82;520,16;10,4032
336,193;535,69;10,7138
336,565;502,55;10,051
336,938;509,28;10,1856
337,311;539,32;10,7864
337,683;520,67;10,4134
338,056;502,03;10,0406
338,429;502,55;10,051
338,801;464,75;9,295
339,174;488,57;9,7714
339,546;479,76;9,5952
339,918;445,07;8,9014
340,291;418,14;8,3628
340,663;406,75;8,135
341,036;412,44;8,2488
341,408;403,12;8,0624
341,78;405,19;8,1038
