wavelength;intensity;divided by 50
171,283;-67,52;-1,3504
171,67;-67,52;-1,3504
172,056;-67,52;-1,3504
172,443;-69,59;-1,3918
172,829;-77,36;-1,5472
173,216;-110,5;-2,21
173,602;-125;-2,5
173,989;-102,21;-2,0442
174,375;-85,64;-1,7128
174,762;-67;-1,34
175,148;-69,59;-1,3918
175,534;-54,57;-1,0914
175,921;-25,05;-0,501
176,307;-33,34;-0,6668
176,693;16,9;0,338
177,08;22,59;0,4518
177,466;50,04;1,0008
177,852;59,36;1,1872
178,238;40,2;0,804
178,624;110,11;2,2022
179,01;115,81;2,3162
179,396;147,4;2,948
179,782;149,47;2,9894
180,168;190,38;3,8076
180,554;177,95;3,559
180,94;214,72;4,2944
181,326;229,22;4,5844
181,712;247,34;4,9468
182,098;268,57;5,3714
182,484;277,38;5,5476
182,87;294,99;5,8998
183,255;317,25;6,345
183,641;300,16;6,0032
184,027;322,43;6,4486
184,413;321,91;6,4382
184,798;332,27;6,6454
185,184;321,91;6,4382
185,57;344,7;6,894
185,955;296,54;5,9308
186,341;309,49;6,1898
186,726;340,56;6,8112
187,112;347,81;6,9562
187,497;350,4;7,008
187,883;311,56;6,2312
188,268;356,61;7,1322
188,653;362,31;7,2462
189,039;344,18;6,8836
189,424;321,4;6,428
189,809;342,11;6,8422
190,195;313,63;6,2726
190,58;328,13;6,5626
190,965;358,68;7,1736
191,35;323,47;6,4694
191,735;354,02;7,0804
192,12;319,84;6,3968
192,505;343,66;6,8732
192,891;305,34;6,1068
193,276;319,32;6,3864
193,661;332,27;6,6454
194,046;311,04;6,2208
194,43;330,72;6,6144
194,815;314,66;6,2932
195,2;323,47;6,4694
195,585;298,09;5,9618
195,97;317,77;6,3554
196,355;323,47;6,4694
196,739;351,43;7,0286
197,124;315,18;6,3036
197,509;286,18;5,7236
197,894;321,4;6,428
198,278;290,32;5,8064
198,663;340,56;6,8112
199,047;331,75;6,635
199,432;308,97;6,1794
199,816;304,31;6,0862
200,201;328,65;6,573
200,585;301,2;6,024
200,97;335,38;6,7076
201,354;339,52;6,7904
201,739;317,25;6,345
202,123;310,52;6,2104
202,507;314,66;6,2932
202,892;304,31;6,0862
203,276;316,74;6,3348
203,66;319,32;6,3864
204,044;312,07;6,2414
204,428;327,09;6,5418
204,813;308,97;6,1794
205,197;288,77;5,7754
205,581;302,24;6,0448
205,965;309,49;6,1898
206,349;329,16;6,5832
206,733;337,97;6,7594
207,117;325,02;6,5004
207,501;296,54;5,9308
207,885;320,36;6,4072
208,269;288,25;5,765
208,652;298,09;5,9618
209,036;320,88;6,4176
209,42;301,72;6,0344
209,804;326,06;6,5212
210,187;313,11;6,2622
210,571;298,09;5,9618
210,955;322,95;6,459
211,338;322,43;6,4486
211,722;315,18;6,3036
212,106;306,9;6,138
