wavelength;intensity;divided by 50
171,283;-47,13;-0,9426
171,67;-47,13;-0,9426
172,056;-47,13;-0,9426
172,443;-85,45;-1,709
172,829;-94,77;-1,8954
173,216;-114,96;-2,2992
173,602;-95,8;-1,916
173,989;-104,09;-2,0818
174,375;-102,02;-2,0404
174,762;-80,79;-1,6158
175,148;-77,16;-1,5432
175,534;-41,43;-0,8286
175,921;-13,98;-0,2796
176,307;-24,86;-0,4972
176,693;-19,16;-0,3832
177,08;5,7;0,114
177,466;56,45;1,129
177,852;54,89;1,0978
178,238;87,52;1,7504
178,624;110,3;2,206
179,01;119,63;2,3926
179,396;124,8;2,496
179,782;166,75;3,335
180,168;167,79;3,3558
180,554;191,61;3,8322
180,94;210,25;4,205
181,326;244,43;4,8886
181,712;228,38;4,5676
182,098;246,5;4,93
182,484;234,07;4,6814
182,87;264,63;5,2926
183,255;272,91;5,4582
183,641;299,84;5,9968
184,027;296,73;5,9346
184,413;299,84;5,9968
184,798;316,93;6,3386
185,184;341,27;6,8254
185,57;297,77;5,9554
185,955;299,84;5,9968
186,341;312,27;6,2454
186,726;294,66;5,8932
187,112;306,57;6,1314
187,497;325,22;6,5044
187,883;288,45;5,769
188,268;310,2;6,204
188,653;333,5;6,67
189,039;326,77;6,5354
189,424;290,52;5,8104
189,809;319;6,38
190,195;325,22;6,5044
190,58;310,72;6,2144
190,965;344,89;6,8978
191,35;285,34;5,7068
191,735;268,77;5,3754
192,12;322,11;6,4422
192,505;315,38;6,3076
192,891;317,45;6,349
193,276;319,52;6,3904
193,661;293,63;5,8726
194,046;297,25;5,945
194,43;309,16;6,1832
194,815;337,64;6,7528
195,2;283,27;5,6654
195,585;313,3;6,266
195,97;308,64;6,1728
196,355;325,73;6,5146
196,739;319,52;6,3904
197,124;290,52;5,8104
197,509;309,68;6,1936
197,894;301,91;6,0382
198,278;282,23;5,6446
198,663;292,07;5,8414
199,047;296,22;5,9244
199,432;268,25;5,365
199,816;285,86;5,7172
200,201;263,59;5,2718
200,585;251,68;5,0336
200,97;288,45;5,769
201,354;299,32;5,9864
201,739;305,02;6,1004
202,123;294,66;5,8932
202,507;296,73;5,9346
202,892;300,36;6,0072
203,276;281,72;5,6344
203,66;289,48;5,7896
204,044;300,36;6,0072
204,428;294,66;5,8932
204,813;319,52;6,3904
205,197;294,66;5,8932
205,581;277,57;5,5514
205,965;310,2;6,204
206,349;295,7;5,914
206,733;306,57;6,1314
207,117;295,7;5,914
207,501;289,48;5,7896
207,885;313,82;6,2764
208,269;300,36;6,0072
208,652;274,47;5,4894
209,036;276,54;5,5308
209,42;299,84;5,9968
209,804;298,29;5,9658
210,187;274,47;5,4894
210,571;313,82;6,2764
210,955;308,13;6,1626
211,338;286,89;5,7378
211,722;266,18;5,3236
212,106;296,22;5,9244
212,489;283,79;5,6758
212,873;303,47;6,0694
213,256;298,8;5,976
213,64;321,59;6,4318
214,023;322,63;6,4526
214,406;298,29;5,9658
214,79;327,29;6,5458
215,173;306,57;6,1314
215,556;342,82;6,8564
215,94;285,34;5,7068
216,323;285,34;5,7068
216,706;308,13;6,1626
217,089;314,86;6,2972
217,472;293,11;5,8622
217,856;307,61;6,1522
218,239;290;5,8
218,622;283,27;5,6654
219,005;296,22;5,9244
219,388;305,02;6,1004
219,771;276,02;5,5204
220,154;302,95;6,059
220,537;328,84;6,5768
220,919;332,98;6,6596
221,302;317,97;6,3594
221,685;338,16;6,7632
222,068;315,38;6,3076
222,451;303,47;6,0694
222,833;323,66;6,4732
223,216;310,72;6,2144
223,599;292,07;5,8414
223,981;309,68;6,1936
224,364;332,98;6,6596
224,746;284,3;5,686
225,129;354,73;7,0946
225,512;298,29;5,9658
225,894;307,09;6,1418
226,276;296,73;5,9346
226,659;302,95;6,059
227,041;316,93;6,3386
227,424;315,38;6,3076
227,806;308,64;6,1728
228,188;295,7;5,914
228,57;287,93;5,7586
228,953;292,59;5,8518
229,335;326,25;6,525
229,717;337,13;6,7426
230,099;320,55;6,411
230,481;313,82;6,2764
230,863;312,79;6,2558
231,245;311,23;6,2246
231,627;345,93;6,9186
232,009;299,84;5,9968
232,391;321,59;6,4318
232,773;307,61;6,1522
233,155;323,66;6,4732
233,537;327,8;6,556
233,919;316,41;6,3282
234,301;314,34;6,2868
234,682;294,66;5,8932
235,064;315,38;6,3076
235,446;325,73;6,5146
235,828;331,95;6,639
236,209;338,16;6,7632
236,591;301,39;6,0278
236,972;323,66;6,4732
237,354;312,79;6,2558
237,736;329,88;6,5976
238,117;298,29;5,9658
238,498;321,07;6,4214
238,88;291,55;5,831
239,261;314,86;6,2972
239,643;329,88;6,5976
240,024;325,22;6,5044
240,405;327,29;6,5458
240,787;339,72;6,7944
241,168;336,09;6,7218
241,549;363,02;7,2604
241,93;312,79;6,2558
242,311;343,86;6,8772
242,692;345,41;6,9082
243,073;339,2;6,784
243,455;343,86;6,8772
243,836;360,95;7,219
244,217;345,93;6,9186
244,597;360,95;7,219
244,978;381,66;7,6332
245,359;356,8;7,136
245,74;400,82;8,0164
246,121;391,5;7,83
246,502;388,91;7,7782
246,883;403,41;8,0682
247,263;406,52;8,1304
247,644;453,64;9,0728
248,025;446,91;8,9382
248,405;573,27;11,4654
248,786;835,31;16,7062
249,166;1446,38;28,9276
249,547;2714,61;54,2922
249,927;4265,08;85,3016
250,308;6407,98;128,1596
250,688;8346,33;166,9266
251,069;9866,24;197,3248
251,449;10769,39;215,3878
251,83;11394,44;227,8888
252,21;11850,68;237,0136
252,59;12177,44;243,5488
252,97;12517,16;250,3432
253,351;12818,03;256,3606
253,731;13121,5;262,43
254,111;13456,04;269,1208
254,491;13777,63;275,5526
254,871;14049,5;280,99
255,251;14174,31;283,4862
255,631;14341,57;286,8314
256,011;14357,11;287,1422
256,391;14488,13;289,7626
256,771;14561,66;291,2332
257,151;14348,31;286,9662
257,531;14029,31;280,5862
257,911;13151,02;263,0204
258,291;11966,68;239,3336
258,67;9755,94;195,1188
259,05;7434,38;148,6876
259,43;5348,96;106,9792
259,81;3507,46;70,1492
260,189;1929,54;38,5908
260,569;904,18;18,0836
260,948;581,04;11,6208
261,328;508,54;10,1708
261,707;477,47;9,5494
262,087;436,04;8,7208
262,466;456,23;9,1246
262,846;428,27;8,5654
263,225;412,73;8,2546
263,605;442,25;8,845
263,984;402,89;8,0578
264,363;381,14;7,6228
264,742;417,39;8,3478
265,122;387,88;7,7576
265,501;410,66;8,2132
265,88;376,48;7,5296
266,259;392,02;7,8404
266,638;435;8,7
267,017;441,73;8,8346
267,396;419,98;8,3996
267,775;399,79;7,9958
268,154;444,84;8,8968
268,533;391,5;7,83
268,912;394,09;7,8818
269,291;416,36;8,3272
269,67;407,04;8,1408
270,049;388,91;7,7782
270,427;403,41;8,0682
270,806;398,23;7,9646
271,185;399,27;7,9854
271,563;390,98;7,8196
271,942;380,11;7,6022
272,321;372,34;7,4468
