wavelength;intensity;divided by 50
171,283;-63,57;-1,2714
171,67;-63,57;-1,2714
172,056;-63,57;-1,2714
172,443;-112,25;-2,245
172,829;-123,12;-2,4624
173,216;-81,69;-1,6338
173,602;-86,87;-1,7374
173,989;-70,3;-1,406
174,375;-127,78;-2,5556
174,762;-72,89;-1,4578
175,148;-73,92;-1,4784
175,534;-59,42;-1,1884
175,921;-33,53;-0,6706
176,307;-13,85;-0,277
176,693;2,2;0,044
177,08;29,65;0,593
177,466;23,43;0,4686
177,852;57,09;1,1418
178,238;74,18;1,4836
178,624;81,43;1,6286
179,01;144,09;2,8818
179,396;126,49;2,5298
179,782;159,63;3,1926
180,168;162,74;3,2548
180,554;178,27;3,5654
180,94;224,36;4,4872
181,326;216,59;4,3318
181,712;209,86;4,1972
182,098;258,02;5,1604
182,484;247,67;4,9534
182,87;277,7;5,554
183,255;278,74;5,5748
183,641;275,63;5,5126
184,027;296,86;5,9372
184,413;285,99;5,7198
184,798;295,31;5,9062
185,184;307,74;6,1548
185,57;316,54;6,3308
185,955;322,24;6,4448
186,341;313,95;6,279
186,726;326,38;6,5276
187,112;321,72;6,4344
187,497;317,06;6,3412
187,883;334,15;6,683
188,268;313,95;6,279
188,653;319,65;6,393
189,039;343,47;6,8694
189,424;326,38;6,5276
189,809;317,06;6,3412
190,195;329,49;6,5898
190,58;308,26;6,1652
190,965;307,22;6,1444
191,35;337,77;6,7554
191,735;324,31;6,4862
192,12;331,04;6,6208
192,505;308,77;6,1754
192,891;323,79;6,4758
193,276;307,22;6,1444
193,661;305,15;6,103
194,046;313,95;6,279
194,43;318,61;6,3722
194,815;308,26;6,1652
195,2;309,29;6,1858
195,585;301,01;6,0202
195,97;287,54;5,7508
196,355;305,67;6,1134
196,739;341,92;6,8384
197,124;318,61;6,3722
197,509;303,59;6,0718
197,894;270,45;5,409
198,278;280,29;5,6058
198,663;307,22;6,1444
199,047;303,08;6,0616
199,432;302,56;6,0512
199,816;286,51;5,7302
200,201;280,29;5,6058
200,585;307,74;6,1548
200,97;259,06;5,1812
201,354;325,34;6,5068
201,739;272,01;5,4402
202,123;269,42;5,3884
202,507;265,27;5,3054
202,892;303,59;6,0718
203,276;323,27;6,4654
203,66;320,68;6,4136
204,044;284,95;5,699
204,428;268,9;5,378
204,813;298,42;5,9684
205,197;310,33;6,2066
205,581;289,61;5,7922
205,965;295,83;5,9166
206,349;293,24;5,8648
206,733;311,36;6,2272
207,117;310,33;6,2066
207,501;308,26;6,1652
207,885;310,84;6,2168
208,269;268,38;5,3676
208,652;274,08;5,4816
209,036;290,65;5,813
209,42;325,34;6,5068
209,804;294,27;5,8854
210,187;311,36;6,2272
210,571;306,7;6,134
210,955;305,15;6,103
211,338;292,72;5,8544
211,722;298,93;5,9786
212,106;293,76;5,8752
212,489;293,76;5,8752
212,873;277,7;5,554
213,256;308,77;6,1754
213,64;300,49;6,0098
214,023;348,13;6,9626
214,406;311,36;6,2272
214,79;311,36;6,2272
215,173;302,04;6,0408
215,556;304,11;6,0822
215,94;319,65;6,393
216,323;289,09;5,7818
216,706;312,4;6,248
217,089;336,74;6,7348
217,472;333,63;6,6726
217,856;319,65;6,393
218,239;310,84;6,2168
218,622;323,79;6,4758
219,005;296,86;5,9372
219,388;310,84;6,2168
219,771;321,2;6,424
220,154;304,11;6,0822
220,537;326,9;6,538
220,919;360,04;7,2008
221,302;304,63;6,0926
221,685;338,81;6,7762
222,068;302,56;6,0512
222,451;331,04;6,6208
222,833;326,9;6,538
223,216;328,97;6,5794
223,599;306,18;6,1236
223,981;336,74;6,7348
224,364;352,27;7,0454
224,746;346,58;6,9316
225,129;331,04;6,6208
225,512;337,77;6,7554
225,894;319,65;6,393
226,276;315,51;6,3102
226,659;296,34;5,9268
227,041;314,99;6,2998
227,424;319,13;6,3826
227,806;292,72;5,8544
228,188;321,72;6,4344
228,57;318,61;6,3722
228,953;315,51;6,3102
229,335;293,76;5,8752
229,717;349,17;6,9834
230,099;359,52;7,1904
230,481;328,97;6,5794
230,863;322,24;6,4448
231,245;349,17;6,9834
231,627;324,83;6,4966
232,009;356,93;7,1386
232,391;347,09;6,9418
232,773;328,97;6,5794
233,155;365,22;7,3044
233,537;340,88;6,8176
233,919;351,24;7,0248
234,301;326,38;6,5276
234,682;336,74;6,7348
235,064;339,33;6,7866
235,446;342,95;6,859
235,828;354,34;7,0868
236,209;323,27;6,4654
236,591;342,95;6,859
236,972;369,88;7,3976
237,354;334,67;6,6934
237,736;361,08;7,2216
238,117;367,81;7,3562
238,498;363,15;7,263
238,88;357,97;7,1594
239,261;343,99;6,8798
239,643;359,52;7,1904
240,024;342,43;6,8486
240,405;326,9;6,538
240,787;332,59;6,6518
241,168;352,27;7,0454
241,549;385,93;7,7186
241,93;387,49;7,7498
242,311;376,09;7,5218
242,692;352,27;7,0454
243,073;361,59;7,2318
243,455;381,27;7,6254
243,836;400,95;8,019
244,217;407,68;8,1536
244,597;451,7;9,034
244,978;442,38;8,8476
245,359;465,68;9,3136
245,74;453,26;9,0652
246,121;471,9;9,438
246,502;496,24;9,9248
246,883;517,47;10,3494
247,263;562,52;11,2504
247,644;581,68;11,6336
248,025;635,02;12,7004
248,405;833,88;16,6776
248,786;1391,62;27,8324
249,166;2719,92;54,3984
249,547;5284,36;105,6872
249,927;8721,39;174,4278
250,308;13386,77;267,7354
250,688;17556,05;351,121
251,069;20607,79;412,1558
251,449;22656,96;453,1392
251,83;23904,48;478,0896
252,21;24844,91;496,8982
252,59;25365,88;507,3176
252,97;26083,63;521,6726
253,351;26971,76;539,4352
253,731;27638,76;552,7752
254,111;28180,44;563,6088
254,491;28826,73;576,5346
254,871;29192,85;583,857
255,251;29713,3;594,266
255,631;30133,8;602,676
256,011;30408,27;608,1654
256,391;30809,09;616,1818
256,771;30693,61;613,8722
257,151;30638,2;612,764
257,531;29427,96;588,5592
257,911;27745,96;554,9192
258,291;24733,57;494,6714
258,67;20473,15;409,463
259,05;15402,28;308,0456
259,43;10860,14;217,2028
259,81;6936,33;138,7266
260,189;3689,35;73,787
260,569;1570,28;31,4056
260,948;893,44;17,8688
261,328;775,36;15,5072
261,707;727,2;14,544
262,087;675,93;13,5186
262,466;617,42;12,3484
262,846;601,36;12,0272
263,225;542,33;10,8466
263,605;538,18;10,7636
263,984;518,51;10,3702
264,363;544,92;10,8984
264,742;504,01;10,0802
265,122;507,11;10,1422
265,501;500,38;10,0076
265,88;484,33;9,6866
266,259;501,42;10,0284
266,638;493,65;9,873
267,017;472,42;9,4484
267,396;501,42;10,0284
267,775;476,56;9,5312
268,154;472,42;9,4484
268,533;464,65;9,293
268,912;460,51;9,2102
269,291;440,31;8,8062
269,67;481,22;9,6244
270,049;490,02;9,8004
270,427;466,72;9,3344
270,806;471,9;9,438
271,185;486,4;9,728
271,563;506,6;10,132
271,942;458,43;9,1686
272,321;456,88;9,1376
272,699;474,49;9,4898
273,078;478,63;9,5726
273,456;477,08;9,5416
273,835;471,9;9,438
274,213;515,92;10,3184
274,592;490,02;9,8004
274,97;489,51;9,7902
275,348;498,31;9,9662
275,727;515,4;10,308
276,105;506,6;10,132
276,483;478,63;9,5726
276,861;514,88;10,2976
277,24;521,1;10,422
277,618;554,76;11,0952
277,996;533,01;10,6602
278,374;554,24;11,0848
278,752;516,95;10,339
279,13;557,35;11,147
279,508;536,11;10,7222
279,886;525,76;10,5152
280,264;549,58;10,9916
280,642;545,95;10,919
281,02;524,2;10,484
281,397;560,45;11,209
281,775;560,97;11,2194
282,153;514,36;10,2872
282,531;528,35;10,567
282,908;531,97;10,6394
283,286;507,63;10,1526
283,664;538,18;10,7636
284,041;506,08;10,1216
284,419;450,15;9,003
