input_wavelength,intensity,bandwidth,gain,integrationtime,UVA,UVB,UVC,temp,AccX,AccY,AccZ,GYRO_X,GYRO_Y,GYRO_Z,input1,input2,day,month,year,hour,minute,second,VISgain,VISintegrationtime,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,c_CH1,c_CH2,c_CH3,c_CH4,c_CH5,c_CH6,c_CH7,c_CH8,c_CH9,c_CH10,c_CH11,c_CH12,c_CH13,c_CH14,c_CH15,c_CH16,c_CH17,c_CH18,temp1,temp2,temp3,Label,uiI2CReadError,uiI2CWriteError,uiStatus1,uiStatus2,Label.1,uiI2CReadError.1,uiI2CWriteError.1,Label.2,uiI2CError,uiI2CReadDetailError,uiI2CWriteDetailError
380,90,5,64,4096,345,3,5,27.1,-1.03,-0.0,-0.19,0.3,0.2,0.7,0,0,16,7,2024,18,25,9,3,255,12,19,15,12,25,40,49,29,49,22,51,72,44,31,5,5,1,1,9.8,18.6,14.1,10.9,18.8,28.5,31.5,18.0,49.4,11.2,51.1,33.4,36.2,24.1,4.1,5.3,0.7,1.0,29,29,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
390,90,5,64,4096,2052,4,6,27.1,-1.03,0.0,-0.19,0.3,0.1,0.5,0,0,16,7,2024,18,25,29,3,255,182,41,25,16,30,51,73,40,50,38,52,80,45,33,6,5,1,1,148.5,40.0,23.5,14.5,22.6,36.3,46.9,24.8,50.4,19.4,52.1,37.1,37.0,25.7,4.9,5.3,0.7,1.0,29,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
400,90,5,64,4096,2783,5,9,27.1,-1.02,-0.02,-0.18,0.5,0.4,0.8,0,0,16,7,2024,18,25,49,3,255,1264,57,28,18,32,50,54,35,50,30,52,77,45,32,7,6,2,1,1031.5,55.7,26.3,16.3,24.1,35.6,34.7,21.7,50.4,15.3,52.1,35.7,37.0,24.9,5.7,6.4,1.5,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
410,90,5,64,4096,2281,6,12,27.1,-1.02,-0.05,-0.17,0.8,0.2,0.3,0,0,16,7,2024,18,26,9,3,255,2768,317,36,24,36,48,66,37,50,31,54,91,46,33,8,6,2,3,2258.9,309.6,33.8,21.7,27.1,34.2,42.4,22.9,50.4,15.8,54.1,42.2,37.8,25.7,6.5,6.4,1.5,2.9,28,29,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
420,90,5,64,4096,71,7,13,27.1,-1.02,-0.04,-0.16,0.5,0.0,0.4,0,0,16,7,2024,18,26,29,3,255,1787,2371,65,28,38,43,73,43,50,32,54,80,46,33,8,7,4,2,1458.3,2315.4,61.1,25.4,28.6,30.6,46.9,26.7,50.4,16.4,54.1,37.1,37.8,25.7,6.5,7.5,2.9,1.9,28,29,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
430,90,5,64,4096,15,9,16,27.1,-1.02,-0.01,-0.18,0.6,0.3,0.4,0,0,16,7,2024,18,26,49,3,154,191,3707,119,15,26,27,47,29,31,25,32,45,28,20,5,5,3,2,155.9,3620.0,111.9,13.6,19.5,19.2,30.2,18.0,31.3,12.8,32.1,20.9,23.0,15.6,4.1,5.3,2.2,1.9,38,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
440,90,5,64,4096,14,7,12,27.1,-1.03,-0.02,-0.18,0.4,0.1,0.6,0,0,16,7,2024,18,27,9,3,190,27,3751,1246,25,38,33,57,34,38,23,40,57,34,25,6,5,4,2,22.0,3663.0,1171.5,22.6,28.6,23.5,36.6,21.1,38.3,11.8,40.1,26.5,28.0,19.5,4.9,5.3,2.9,1.9,28,29,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
450,90,5,1,4096,1,1,1,27.1,-1.02,-0.05,-0.17,0.8,0.0,0.4,0,0,16,7,2024,18,27,29,3,160,13,886,3811,35,34,29,51,31,32,18,34,49,29,21,5,4,2,4,10.6,865.2,3583.0,31.7,25.6,20.6,32.8,19.2,32.3,9.2,34.1,22.7,23.9,16.3,4.1,4.3,1.5,3.9,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
460,90,5,1,4096,1,1,1,27.1,-1.02,-0.03,-0.17,0.9,0.2,0.3,0,0,16,7,2024,18,27,49,3,129,10,79,3824,152,36,24,33,25,26,21,28,37,23,17,4,3,2,2,8.2,77.1,3595.3,137.6,27.1,17.1,21.2,15.5,26.2,10.7,28.1,17.2,18.9,13.2,3.3,3.2,1.5,1.9,28,29,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
470,90,5,1,4096,1,1,1,27.1,-1.02,-0.03,-0.17,0.6,0.0,0.3,0,0,16,7,2024,18,28,9,3,235,27,70,3677,2166,110,57,80,48,47,31,51,77,43,32,9,8,9,4,22.0,68.4,3457.1,1961.3,82.7,40.6,51.4,29.8,47.4,15.8,51.1,35.7,35.4,24.9,7.4,8.5,6.6,3.9,28,29,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
