input_wavelength,intensity,bandwidth,gain,integrationtime,UVA,UVB,UVC,temp,AccX,AccY,AccZ,GYRO_X,GYRO_Y,GYRO_Z,input1,input2,day,month,year,hour,minute,second,VISgain,VISintegrationtime,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,c_CH1,c_CH2,c_CH3,c_CH4,c_CH5,c_CH6,c_CH7,c_CH8,c_CH9,c_CH10,c_CH11,c_CH12,c_CH13,c_CH14,c_CH15,c_CH16,c_CH17,c_CH18,temp1,temp2,temp3,Label,uiI2CReadError,uiI2CWriteError,uiStatus1,uiStatus2,Label.1,uiI2CReadError.1,uiI2CWriteError.1,Label.2,uiI2CError,uiI2CReadDetailError,uiI2CWriteDetailError
380,10,5,64,4096,46,3,5,26.8,-1.03,-0.0,-0.18,0.6,0.3,0.4,0,0,16,7,2024,13,40,54,3,255,6,11,14,10,23,37,39,27,48,20,50,65,44,30,4,4,1,1,4.9,10.7,13.2,9.1,17.3,26.3,25.1,16.7,48.4,10.2,50.1,30.2,36.2,23.3,3.3,4.3,0.7,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
390,10,5,64,4096,182,3,5,26.9,-1.01,-0.06,-0.15,1.1,-0.0,0.3,0,0,16,7,2024,13,41,14,3,255,24,14,15,11,23,39,42,28,48,22,50,66,44,31,5,4,1,1,19.6,13.7,14.1,10.0,17.3,27.8,27.0,17.4,48.4,11.2,50.1,30.6,36.2,24.1,4.1,4.3,0.7,1.0,29,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
400,10,5,64,4096,237,3,5,26.8,-1.03,-0.01,-0.18,0.5,0.2,0.6,0,0,16,7,2024,13,41,34,3,255,140,15,15,11,23,39,40,28,48,21,50,65,44,31,5,4,1,1,114.2,14.6,14.1,10.0,17.3,27.8,25.7,17.4,48.4,10.7,50.1,30.2,36.2,24.1,4.1,4.3,0.7,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
410,10,5,64,4096,173,3,5,26.9,-1.01,-0.06,-0.17,1.0,0.1,0.1,0,0,16,7,2024,13,41,54,3,255,304,42,16,11,24,38,41,28,48,21,50,67,44,31,5,4,1,1,248.1,41.0,15.0,10.0,18.0,27.0,26.4,17.4,48.4,10.7,50.1,31.1,36.2,24.1,4.1,4.3,0.7,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
420,10,5,64,4096,123,3,5,26.9,-1.03,-0.02,-0.19,0.5,0.0,0.7,0,0,16,7,2024,13,42,14,3,255,199,268,20,12,24,38,42,29,48,21,50,66,44,31,5,4,1,1,162.4,261.7,18.8,10.9,18.0,27.0,27.0,18.0,48.4,10.7,50.1,30.6,36.2,24.1,4.1,4.3,0.7,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
430,10,5,1,4096,1,1,1,26.9,-1.02,-0.02,-0.17,0.6,0.1,0.7,0,0,16,7,2024,13,42,34,3,255,38,695,33,12,25,38,43,29,48,22,50,65,44,31,5,4,2,1,31.0,678.7,31.0,10.9,18.8,27.0,27.6,18.0,48.4,11.2,50.1,30.2,36.2,24.1,4.1,4.3,1.5,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
440,10,5,1,4096,1,1,1,26.9,-1.02,-0.05,-0.17,1.0,0.3,0.2,0,0,16,7,2024,13,42,54,3,255,9,564,198,13,25,38,42,29,48,21,50,65,44,31,5,4,2,1,7.3,550.8,186.2,11.8,18.8,27.0,27.0,18.0,48.4,10.7,50.1,30.2,36.2,24.1,4.1,4.3,1.5,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
450,10,5,1,4096,1,1,1,26.9,-1.03,0.0,-0.18,0.6,0.3,0.6,0,0,16,7,2024,13,43,14,3,255,8,159,704,15,26,38,43,29,48,21,50,65,44,31,5,4,1,1,6.5,155.3,661.9,13.6,19.5,27.0,27.6,18.0,48.4,10.7,50.1,30.2,36.2,24.1,4.1,4.3,0.7,1.0,28,29,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
460,10,5,1,4096,1,1,1,26.9,-1.02,-0.03,-0.18,0.6,0.1,0.6,0,0,16,7,2024,13,43,34,3,255,7,25,880,42,28,38,41,29,48,22,50,65,44,31,5,4,1,1,5.7,24.4,827.4,38.0,21.1,27.0,26.4,18.0,48.4,11.2,50.1,30.2,36.2,24.1,4.1,4.3,0.7,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
470,10,5,1,4096,1,1,1,26.9,-1.02,-0.04,-0.16,0.7,-0.0,0.3,0,0,16,7,2024,13,44,4,3,255,9,18,452,275,34,40,44,30,48,22,50,66,44,31,5,5,2,1,7.3,17.6,425.0,249.0,25.6,28.5,28.3,18.6,48.4,11.2,50.1,30.6,36.2,24.1,4.1,5.3,1.5,1.0,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
