Data from USB2H144621__7__11-47-51-013.txt Node

Date: Tue Apr 23 11:47:51 CEST 2024
User: experimenter
Spectrometer: USB2+H14462
Trigger mode: 0
Integration Time (sec): 5,000000E-2
Scans to average: 5
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
171,283	-36,31
171,67	-36,31
172,056	-36,31
172,443	-99,49
172,829	-82,4
173,216	-113,48
173,602	-125,39
173,989	-89,14
174,375	-62,73
174,762	-52,37
175,148	-58,58
175,534	-69,98
175,921	-25,96
176,307	-10,94
176,693	-5,76
177,08	12,88
177,466	29,97
177,852	54,83
178,238	92,11
178,624	93,15
179,01	105,06
179,396	112,83
179,782	126,81
180,168	203,97
180,554	226,24
180,94	245,4
181,326	227,79
181,712	261,97
182,098	242,29
182,484	253,17
182,87	309,61
183,255	309,61
183,641	286,31
184,027	314,79
184,413	305,99
184,798	314,28
185,184	304,44
185,57	320,49
185,955	307,54
186,341	313,76
186,726	305,99
187,112	298,22
187,497	305,47
187,883	332,92
188,268	324,63
188,653	314,28
189,039	299,78
189,424	322,04
189,809	340,17
190,195	337,06
190,58	323,6
190,965	279,58
191,35	298,74
191,735	292,53
192,12	290,45
192,505	299,78
192,891	312,2
193,276	313,24
193,661	274,92
194,046	315,83
194,43	276,47
194,815	269,22
195,2	308,06
195,585	298,74
195,97	302,36
196,355	329,29
196,739	316,86
197,124	300,81
197,509	282,69
197,894	286,83
198,278	268,19
198,663	280,61
199,047	280,1
199,432	321,53
199,816	295,11
200,201	308,06
200,585	285,79
200,97	304,95
201,354	318,42
201,739	296,15
202,123	308,06
202,507	276,99
202,892	291,49
203,276	300,29
203,66	284,76
204,044	279,06
204,428	266,11
204,813	297,7
205,197	319,97
205,581	316,86
205,965	300,29
206,349	292,53
206,733	333,44
207,117	299,78
207,501	303,4
207,885	282,69
208,269	317,9
208,652	285,28
209,036	324,11
209,42	300,29
209,804	289,94
210,187	327,74
210,571	294,08
210,955	306,51
211,338	315,31
211,722	301,33
212,106	301,85
212,489	330,33
212,873	337,58
213,256	301,85
213,64	295,63
214,023	312,72
214,406	300,29
214,79	294,08
215,173	301,33
215,556	285,79
215,94	316,86
216,323	314,79
216,706	269,74
217,089	316,35
217,472	335,51
217,856	312,2
218,239	297,19
218,622	287,35
219,005	314,79
219,388	293,56
219,771	300,29
220,154	309,61
220,537	346,9
220,919	311,69
221,302	294,6
221,685	283,72
222,068	336,03
222,451	338,61
222,833	317,9
223,216	301,85
223,599	336,54
223,981	301,85
224,364	314,79
224,746	336,54
225,129	319,97
225,512	313,76
225,894	308,58
226,276	282,69
226,659	312,2
227,041	325,15
227,424	334,99
227,806	359,85
228,188	349,49
228,57	305,99
228,953	309,61
229,335	274,4
229,717	389,36
230,099	328,78
230,481	354,67
230,863	321,53
231,245	317,38
231,627	321,53
232,009	328,78
232,391	302,36
232,773	310,65
233,155	337,06
233,537	361,92
233,919	303,92
234,301	334,47
234,682	324,63
235,064	328,26
235,446	304,95
235,828	311,17
236,209	327,74
236,591	334,99
236,972	338,61
237,354	339,65
237,736	317,38
238,117	335,51
238,498	341,72
238,88	324,63
239,261	307,03
239,643	318,42
240,024	342,24
240,405	329,81
240,787	358,81
241,168	351,04
241,549	332,4
241,93	354,67
242,311	338,1
242,692	362,44
243,073	324,11
243,455	374,86
243,836	379,53
244,217	333,44
244,597	355,7
244,978	370,2
245,359	374,35
245,74	421,47
246,121	400,76
246,502	409,56
246,883	419,4
247,263	432,87
247,644	457,2
248,025	479,47
248,405	574,24
248,786	817,63
249,166	1513,12
249,547	2676,75
249,927	4329,75
250,308	6556,02
250,688	8383,03
251,069	9826,3
251,449	10855,29
251,83	11527,47
252,21	11894,11
252,59	12244,7
252,97	12479,81
253,351	12880,11
253,731	13113,15
254,111	13638,78
254,491	13923,6
254,871	13958,29
255,251	14123,49
255,631	14354,46
256,011	14543,47
256,391	14742,33
256,771	14661,03
257,151	14464,24
257,531	14222,92
257,911	13363,28
258,291	11901,88
258,67	9753,28
259,05	7433,28
259,43	5290,9
259,81	3460,78
260,189	1909,8
260,569	890,65
260,948	578,38
261,328	512,62
261,707	483,62
262,087	484,13
262,466	464,45
262,846	474,29
263,225	454,1
263,605	440,63
263,984	411,11
264,363	417,85
264,742	425,1
265,122	411,11
265,501	411,11
265,88	413,19
266,259	373,31
266,638	386,78
267,017	420,44
267,396	415,26
267,775	387,81
268,154	391,95
268,533	434,42
268,912	416,81
269,291	390,4
269,67	412,15
270,049	408,53
270,427	386,26
270,806	436,49
271,185	419,4
271,563	388,85
271,942	394,54
272,321	404,38
272,699	413,19
273,078	387,29
273,456	435,45
273,835	411,63
274,213	448,4
274,592	410,08
274,97	432,87
275,348	431,31
275,727	398,69
276,105	445,29
276,483	434,94
276,861	450,99
277,24	465,49
277,618	449,44
277,996	458,24
278,374	452,03
278,752	442,7
279,13	442,7
279,508	464,97
279,886	431,31
280,264	438,04
280,642	427,69
281,02	438,56
281,397	438,04
281,775	440,12
282,153	476,37
282,531	485,17
282,908	445,29
283,286	449,95
283,664	427,17
284,041	446,33
284,419	428,72
284,796	482,06
285,174	448,92
285,551	457,72
285,929	421,99
286,306	462,38
286,683	436,49
287,061	452,54
287,438	445,81
287,815	461,35
288,192	449,95
288,569	446,85
288,947	476,37
289,324	464,97
289,701	442,19
290,078	450,47
290,455	431,83
290,832	446,85
291,209	457,72
291,586	493,45
291,963	466,53
292,339	523,49
292,716	608,42
