Device number: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Battery voltage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Battery percentage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Input;380nm;390nm;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm;710nm;720nm;730nm;740nm;750nm;760nm;770nm;780nm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Measuring mode;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Correction;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;16:51:39;16:53:58;16:54:37;16:55:07;16:55:26;16:55:42;16:55:57;16:56:10;16:56:23;16:56:36;16:57:22;16:57:34;16:57:45;16:57:56;16:58:07;16:58:16;16:58:23;16:58:30;16:58:38;16:58:44;16:58:51;16:58:59;16:59:09;16:59:18;16:59:25;16:59:33;16:59:41;16:59:47;16:59:55;17:00:03;17:00:10;17:00:18;17:00:27;17:00:35;17:00:45;17:00:56;17:01:08;17:01:21;17:01:41;17:01:57;17:02:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seconds since midnight 01.01.1900;3930223899;3930224038;3930224077;3930224107;3930224126;3930224142;3930224157;3930224170;3930224183;3930224196;3930224242;3930224254;3930224265;3930224276;3930224287;3930224296;3930224303;3930224310;3930224318;3930224324;3930224331;3930224339;3930224349;3930224358;3930224365;3930224373;3930224381;3930224387;3930224395;3930224403;3930224410;3930224418;3930224427;3930224435;3930224445;3930224456;3930224468;3930224481;3930224501;3930224517;3930224554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibration file;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sync. frequency [Hz];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
