Device number: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Battery voltage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Battery percentage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Input;380nm;390nm;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm;710nm;720nm;730nm;740nm;750nm;760nm;770nm;780nm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Measuring mode;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Correction;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;Offset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;17.07.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;16:12:36;16:15:01;16:16:33;16:17:25;16:18:03;16:18:42;16:19:25;16:19:49;16:20:14;16:20:36;16:20:58;16:21:16;16:21:35;16:21:59;16:22:13;16:22:30;16:22:49;16:23:01;16:23:16;16:23:32;16:23:48;16:24:02;16:24:22;16:24:37;16:24:51;16:25:07;16:25:23;16:25:36;16:25:51;16:26:06;16:26:20;16:26:34;16:26:51;16:27:06;16:27:43;16:28:01;16:28:21;16:28:42;16:29:08;16:29:37;16:30:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seconds since midnight 01.01.1900;3930221556;3930221701;3930221793;3930221845;3930221883;3930221922;3930221965;3930221989;3930222014;3930222036;3930222058;3930222076;3930222095;3930222119;3930222133;3930222150;3930222169;3930222181;3930222196;3930222212;3930222228;3930222242;3930222262;3930222277;3930222291;3930222307;3930222323;3930222336;3930222351;3930222366;3930222380;3930222394;3930222411;3930222426;3930222463;3930222481;3930222501;3930222522;3930222548;3930222577;3930222621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibration file;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;#2 Diffusor Oct23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sync. frequency [Hz];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
